customer_id,name,company,email,subscription_plan,mrr,signup_date,subscription_age_months,total_tickets,unresolved_tickets,escalated_tickets,avg_csat,avg_resolution_hours,payment_delay_days,product_usage_score,health_score,churn_risk_score,churn_flag
CUST-0014,Rohan Patel,Apex Global,rohan.patel@apexglobal.com,Enterprise,799.0,2025-06-24,12,2,2,2,3.0,24.0,25,52.2,28,71.78,0
CUST-0015,Noah Rodriguez,InnoWave,noah.rodriguez@innowave.com,Starter,49.0,2025-02-14,16,6,4,2,2.67,17.4,7,43.1,19,80.56,0
CUST-0016,Siddharth Rodriguez,DataFlow,siddharth.rodriguez@dataflow.com,Pro,199.0,2025-04-29,14,3,0,1,3.67,15.37,3,70.8,74,25.39,0
CUST-0017,Sam Taylor,Apex Global,sam.taylor@apexglobal.com,Starter,49.0,2025-10-21,8,6,3,0,3.17,49.57,0,31.9,46,53.48,0
CUST-0018,Taylor Garcia,CloudScale,taylor.garcia@cloudscale.com,Starter,49.0,2025-10-10,8,3,2,0,2.67,16.2,0,20.7,57,42.6,0
CUST-0019,Chris Mahato,Vanguard AI,chris.mahato@vanguardai.com,Enterprise,799.0,2025-10-19,8,6,3,1,3.5,33.57,0,83.6,52,47.64,0
CUST-0020,Aarav Chen,Horizon Labs,aarav.chen@horizonlabs.com,Pro,199.0,2025-05-28,13,8,4,3,2.38,30.57,0,45.7,11,88.43,1
CUST-0021,Liam Jones,Apex Global,liam.jones@apexglobal.com,Pro,199.0,2025-08-01,11,7,5,0,3.0,29.0,0,47.8,38,61.22,0
CUST-0022,Sam Williams,Nexus Solutions,sam.williams@nexussolutions.com,Pro,199.0,2025-06-23,12,8,5,0,3.38,22.43,0,58.7,42,57.13,0
CUST-0023,Taylor Kim,InnoWave,taylor.kim@innowave.com,Enterprise,799.0,2025-06-03,13,8,4,1,3.12,46.92,7,79.3,36,63.27,0
CUST-0024,Siddharth Williams,TechPulse,siddharth.williams@techpulse.com,Starter,49.0,2025-07-23,11,10,6,2,2.5,11.85,0,66.3,8,91.37,1
CUST-0025,Alex Johnson,Starlight Systems,alex.johnson@starlightsystems.com,Pro,199.0,2025-05-05,14,4,1,2,3.0,14.5,14,57.1,43,56.69,0
CUST-0026,Taylor Taylor,Nexus Solutions,taylor.taylor@nexussolutions.com,Pro,199.0,2025-09-20,9,3,1,1,2.67,21.25,0,37.0,57,42.97,0
CUST-0027,Noah Thomas,Horizon Labs,noah.thomas@horizonlabs.com,Pro,199.0,2025-07-15,11,10,9,1,2.0,11.1,3,71.2,0,100.0,1
CUST-0028,Aarav Patel,Acme Corp,aarav.patel@acmecorp.com,Starter,49.0,2025-03-15,15,8,4,4,2.12,9.55,0,25.3,0,100.0,1
CUST-0029,Riley Anderson,Synergy Tech,riley.anderson@synergytech.com,Enterprise,799.0,2025-07-01,12,3,2,0,2.67,19.6,0,88.6,64,35.81,0
CUST-0030,Taylor Chen,Apex Global,taylor.chen@apexglobal.com,Starter,49.0,2025-08-12,10,8,6,0,2.5,21.75,0,18.0,23,76.2,0
CUST-0031,Priya Mahato,Apex Global,priya.mahato@apexglobal.com,Enterprise,799.0,2025-02-16,16,10,6,4,2.4,29.55,0,95.0,0,100.0,1
CUST-0032,Dakota Brown,Synergy Tech,dakota.brown@synergytech.com,Enterprise,799.0,2025-09-27,9,2,0,0,4.5,37.75,0,33.7,89,10.63,0
CUST-0033,Riley Mahato,Starlight Systems,riley.mahato@starlightsystems.com,Pro,199.0,2025-04-10,14,7,4,1,2.86,28.7,7,78.3,34,65.51,0
CUST-0034,Sam Johnson,DataFlow,sam.johnson@dataflow.com,Pro,199.0,2025-03-13,15,9,4,5,2.33,28.36,25,65.5,0,100.0,1
CUST-0035,Taylor Kim,Acme Corp,taylor.kim@acmecorp.com,Pro,199.0,2025-04-14,14,2,1,1,2.0,22.0,7,36.9,47,52.51,0
CUST-0036,Priya Chen,ByteWorks,priya.chen@byteworks.com,Enterprise,799.0,2025-08-14,10,8,7,3,2.25,11.5,0,63.4,0,100.0,1
CUST-0037,Priya Patel,Nexus Solutions,priya.patel@nexussolutions.com,Starter,49.0,2025-10-21,8,4,4,0,2.0,24.0,0,25.9,36,63.41,0
CUST-0038,Taylor Kim,TechPulse,taylor.kim@techpulse.com,Enterprise,799.0,2025-08-16,10,3,2,0,2.67,71.0,0,25.4,49,50.13,0
CUST-0039,Taylor Williams,DataFlow,taylor.williams@dataflow.com,Pro,199.0,2025-09-03,10,10,5,1,3.1,16.28,0,70.1,31,68.19,0
CUST-0040,Chris Kim,ByteWorks,chris.kim@byteworks.com,Pro,199.0,2025-08-26,10,5,3,1,2.6,7.25,0,90.6,45,54.14,0
CUST-0041,Liam Kim,CloudScale,liam.kim@cloudscale.com,Starter,49.0,2025-10-26,8,7,5,4,2.71,26.3,25,26.9,0,100.0,1
CUST-0042,Sam Sharma,Vanguard AI,sam.sharma@vanguardai.com,Pro,199.0,2025-03-25,15,8,6,1,2.62,24.0,14,40.1,8,91.39,1
CUST-0043,Sophia Sharma,Synergy Tech,sophia.sharma@synergytech.com,Pro,199.0,2025-05-16,13,9,5,5,2.22,27.52,0,57.8,0,100.0,1
CUST-0044,Jordan Garcia,ByteWorks,jordan.garcia@byteworks.com,Starter,49.0,2025-01-19,17,8,7,0,2.38,61.6,0,39.2,8,91.08,1
CUST-0045,Alex Rodriguez,QuantumSoft,alex.rodriguez@quantumsoft.com,Pro,199.0,2025-05-01,14,2,2,1,2.5,24.0,0,32.5,47,52.75,0
CUST-0046,Sam Taylor,TechPulse,sam.taylor@techpulse.com,Pro,199.0,2025-07-11,11,8,2,2,3.0,37.23,14,50.9,34,65.31,0
CUST-0047,Ananya Verma,Apex Global,ananya.verma@apexglobal.com,Enterprise,799.0,2025-10-04,9,4,3,1,3.0,34.2,0,31.5,43,56.85,0
CUST-0048,Morgan Johnson,Nexus Solutions,morgan.johnson@nexussolutions.com,Enterprise,799.0,2025-01-25,17,5,3,1,3.4,42.85,14,47.7,39,60.43,0
CUST-0049,Dakota Verma,TechPulse,dakota.verma@techpulse.com,Enterprise,799.0,2025-08-31,10,5,2,0,3.0,36.27,0,31.9,61,38.81,0
CUST-0050,Pat Brown,Horizon Labs,pat.brown@horizonlabs.com,Pro,199.0,2025-05-05,14,5,3,2,2.4,39.5,0,54.9,30,69.31,0
CUST-0051,Aarav Rodriguez,Starlight Systems,aarav.rodriguez@starlightsystems.com,Pro,199.0,2025-09-09,9,9,5,1,2.56,27.77,0,67.3,27,72.83,0
CUST-0052,Jordan Williams,ByteWorks,jordan.williams@byteworks.com,Pro,199.0,2025-07-13,11,10,6,1,2.7,22.17,14,29.9,8,91.81,1
CUST-0053,Ananya Williams,Starlight Systems,ananya.williams@starlightsystems.com,Enterprise,799.0,2025-06-01,13,5,1,4,2.6,18.17,0,60.8,28,71.12,0
CUST-0054,Chris Verma,TechPulse,chris.verma@techpulse.com,Starter,49.0,2025-05-18,13,6,2,1,3.5,17.88,0,41.1,56,43.89,0
CUST-0055,Casey Verma,InnoWave,casey.verma@innowave.com,Starter,49.0,2025-10-16,8,5,1,1,4.0,37.73,0,60.1,70,29.99,0
CUST-0056,Ananya Sharma,Starlight Systems,ananya.sharma@starlightsystems.com,Pro,199.0,2025-02-24,16,2,0,1,3.5,22.9,0,24.3,70,29.57,0
CUST-0057,Sam Patel,DataFlow,sam.patel@dataflow.com,Pro,199.0,2025-08-22,10,5,1,1,4.0,22.82,0,31.5,67,32.85,0
CUST-0058,Taylor Jackson,Apex Global,taylor.jackson@apexglobal.com,Enterprise,799.0,2025-04-06,15,7,4,0,3.57,26.1,0,19.3,48,51.5,0
CUST-0059,Priya Smith,Nexus Solutions,priya.smith@nexussolutions.com,Starter,49.0,2025-04-10,14,8,3,3,2.62,42.1,14,28.3,11,88.57,1
CUST-0060,Pat Miller,Starlight Systems,pat.miller@starlightsystems.com,Starter,49.0,2025-10-19,8,7,4,0,3.43,29.1,0,84.5,53,46.12,0
CUST-0061,Taylor Kim,QuantumSoft,taylor.kim@quantumsoft.com,Enterprise,799.0,2025-07-03,12,3,2,1,3.0,5.2,0,89.4,56,43.06,0
CUST-0062,Chris Kim,Nexus Solutions,chris.kim@nexussolutions.com,Starter,49.0,2025-08-08,10,5,3,1,2.6,4.9,25,20.7,23,76.13,0
CUST-0063,Ananya Williams,Horizon Labs,ananya.williams@horizonlabs.com,Starter,49.0,2025-02-22,16,7,3,1,3.0,35.35,0,54.6,45,54.54,0
CUST-0064,Morgan Davis,Nexus Solutions,morgan.davis@nexussolutions.com,Enterprise,799.0,2025-02-06,17,10,3,2,2.9,19.53,0,76.7,36,63.13,0
CUST-0065,Alex Sharma,Starlight Systems,alex.sharma@starlightsystems.com,Pro,199.0,2025-05-20,13,10,5,1,2.8,17.7,0,27.0,25,74.9,0
CUST-0066,Rohan Smith,CloudScale,rohan.smith@cloudscale.com,Enterprise,799.0,2025-06-27,12,2,1,0,3.0,11.2,0,71.9,73,26.81,0
CUST-0067,Taylor Johnson,CloudScale,taylor.johnson@cloudscale.com,Enterprise,799.0,2025-07-31,11,7,3,2,2.86,9.23,0,92.5,38,61.89,0
CUST-0068,Ananya Anderson,Acme Corp,ananya.anderson@acmecorp.com,Enterprise,799.0,2025-06-03,13,6,3,2,2.67,9.37,25,17.4,14,85.93,1
CUST-0069,Chris Patel,CloudScale,chris.patel@cloudscale.com,Starter,49.0,2025-05-21,13,6,3,2,2.67,11.97,0,92.9,36,63.38,0
CUST-0070,Morgan Davis,QuantumSoft,morgan.davis@quantumsoft.com,Starter,49.0,2025-05-17,13,10,5,2,2.7,35.34,0,90.9,20,79.31,0
CUST-0071,Noah Verma,Starlight Systems,noah.verma@starlightsystems.com,Enterprise,799.0,2025-01-17,17,4,1,1,2.5,41.83,25,73.6,44,55.64,0
CUST-0072,Chris Chen,Nexus Solutions,chris.chen@nexussolutions.com,Pro,199.0,2025-06-29,12,10,2,5,3.1,13.44,14,44.6,4,95.14,1
CUST-0073,Casey Kim,Nexus Solutions,casey.kim@nexussolutions.com,Pro,199.0,2025-04-26,14,6,3,1,3.0,27.27,14,31.2,34,65.28,0
CUST-0074,Sam Rodriguez,InnoWave,sam.rodriguez@innowave.com,Enterprise,799.0,2025-02-04,17,3,2,1,2.67,12.4,14,67.4,43,56.33,0
CUST-0075,Noah Taylor,Acme Corp,noah.taylor@acmecorp.com,Starter,49.0,2025-05-22,13,8,4,3,3.5,14.28,14,65.8,14,85.82,1
CUST-0076,Alex Davis,InnoWave,alex.davis@innowave.com,Pro,199.0,2025-08-17,10,4,2,1,3.25,32.45,3,63.7,54,45.43,0
CUST-0077,Dakota Rodriguez,ByteWorks,dakota.rodriguez@byteworks.com,Pro,199.0,2025-06-28,12,9,8,1,2.44,26.0,0,90.8,4,95.36,1
CUST-0078,Taylor Davis,InnoWave,taylor.davis@innowave.com,Starter,49.0,2025-06-07,12,8,4,3,1.88,29.17,0,16.4,4,95.36,1
CUST-0079,Riley Davis,Horizon Labs,riley.davis@horizonlabs.com,Pro,199.0,2025-06-09,12,4,3,0,2.5,26.0,0,32.9,49,50.71,0
CUST-0080,Sam Miller,Horizon Labs,sam.miller@horizonlabs.com,Starter,49.0,2025-09-16,9,4,0,0,4.5,25.45,0,48.5,90,9.15,0
CUST-0081,Morgan Anderson,Horizon Labs,morgan.anderson@horizonlabs.com,Enterprise,799.0,2025-03-02,16,6,2,4,1.83,36.47,7,49.1,9,90.62,1
CUST-0082,Jordan Smith,TechPulse,jordan.smith@techpulse.com,Enterprise,799.0,2025-03-29,15,7,5,2,2.86,29.7,0,71.4,19,80.0,0
CUST-0083,Liam Jackson,Horizon Labs,liam.jackson@horizonlabs.com,Enterprise,799.0,2025-04-25,14,7,4,2,2.43,13.33,0,78.3,25,74.74,0
CUST-0084,Olivia Mahato,Synergy Tech,olivia.mahato@synergytech.com,Enterprise,799.0,2025-04-16,14,9,2,0,3.89,30.97,0,80.2,73,26.87,0
CUST-0085,Morgan Verma,QuantumSoft,morgan.verma@quantumsoft.com,Enterprise,799.0,2025-06-14,12,10,6,2,3.2,23.43,0,89.1,16,83.49,1
CUST-0086,Aarav Thomas,Acme Corp,aarav.thomas@acmecorp.com,Starter,49.0,2025-05-09,13,5,3,2,3.2,9.4,3,54.2,35,64.78,0
CUST-0087,Noah Thomas,InnoWave,noah.thomas@innowave.com,Starter,49.0,2025-06-12,12,10,6,0,2.9,27.47,0,51.7,30,69.63,0
CUST-0088,Aarav Johnson,Apex Global,aarav.johnson@apexglobal.com,Starter,49.0,2025-01-28,17,4,1,0,3.5,22.9,0,37.5,73,26.25,0
CUST-0089,Siddharth Verma,ByteWorks,siddharth.verma@byteworks.com,Enterprise,799.0,2025-01-16,17,9,5,1,3.22,14.62,7,79.6,29,70.46,0
CUST-0090,Rohan Garcia,Acme Corp,rohan.garcia@acmecorp.com,Pro,199.0,2025-05-07,14,5,1,0,3.8,47.1,0,86.5,81,18.95,0
CUST-0091,Sophia Taylor,QuantumSoft,sophia.taylor@quantumsoft.com,Starter,49.0,2025-07-07,11,8,5,3,2.5,23.33,14,43.2,0,100.0,1
CUST-0092,Emily Taylor,Vanguard AI,emily.taylor@vanguardai.com,Starter,49.0,2025-09-14,9,4,2,0,2.75,15.55,0,65.4,62,37.46,0
CUST-0093,Jordan Jackson,TechPulse,jordan.jackson@techpulse.com,Starter,49.0,2025-03-27,15,6,2,1,3.5,37.12,25,67.8,43,56.22,0
CUST-0094,Olivia Thomas,Acme Corp,olivia.thomas@acmecorp.com,Enterprise,799.0,2025-08-09,10,10,6,1,3.3,23.88,0,27.9,21,78.81,0
CUST-0095,Alex Williams,TechPulse,alex.williams@techpulse.com,Pro,199.0,2025-08-11,10,3,1,1,2.67,56.4,0,64.2,51,48.25,0
CUST-0096,Jordan Patel,CloudScale,jordan.patel@cloudscale.com,Enterprise,799.0,2025-01-01,18,4,1,1,3.75,23.43,0,79.2,69,30.08,0
CUST-0097,Casey Thomas,Starlight Systems,casey.thomas@starlightsystems.com,Enterprise,799.0,2025-05-09,13,9,7,1,2.0,59.05,0,82.8,0,99.72,1
CUST-0098,Aarav Taylor,Vanguard AI,aarav.taylor@vanguardai.com,Pro,199.0,2025-09-09,9,4,2,0,3.75,7.5,0,58.9,69,30.11,0
CUST-0099,Riley Rodriguez,Nexus Solutions,riley.rodriguez@nexussolutions.com,Enterprise,799.0,2025-06-25,12,7,3,1,3.57,16.35,3,42.5,47,52.98,0
CUST-0100,Rohan Brown,InnoWave,rohan.brown@innowave.com,Enterprise,799.0,2025-04-12,14,10,7,3,3.0,29.27,0,25.5,0,100.0,1
CUST-0101,Alex Johnson,QuantumSoft,alex.johnson@quantumsoft.com,Pro,199.0,2025-06-16,12,9,4,3,3.11,42.02,3,37.8,14,85.13,1
CUST-0102,Casey Chen,CloudScale,casey.chen@cloudscale.com,Starter,49.0,2025-04-04,15,4,1,2,2.5,13.3,25,94.8,36,63.52,0
CUST-0103,Siddharth Johnson,InnoWave,siddharth.johnson@innowave.com,Starter,49.0,2025-03-16,15,2,1,1,2.5,70.2,25,34.8,32,67.52,0
CUST-0104,Jordan Miller,Nexus Solutions,jordan.miller@nexussolutions.com,Enterprise,799.0,2025-02-18,16,10,6,2,2.6,18.55,0,58.5,8,91.35,1
CUST-0105,Siddharth Rodriguez,Vanguard AI,siddharth.rodriguez@vanguardai.com,Enterprise,799.0,2025-03-24,15,3,2,0,3.0,24.4,0,92.4,67,32.76,0
CUST-0106,Ananya Miller,Synergy Tech,ananya.miller@synergytech.com,Enterprise,799.0,2025-09-12,9,10,2,5,2.5,33.2,25,89.7,0,100.0,1
CUST-0107,Sophia Sharma,InnoWave,sophia.sharma@innowave.com,Pro,199.0,2025-08-09,10,7,2,1,4.0,30.76,0,54.1,61,38.59,0
CUST-0108,Noah Brown,Vanguard AI,noah.brown@vanguardai.com,Enterprise,799.0,2025-06-03,13,2,0,1,3.0,64.7,0,65.7,62,37.43,0
CUST-0109,Ananya Johnson,DataFlow,ananya.johnson@dataflow.com,Enterprise,799.0,2025-01-22,17,7,3,1,3.14,35.6,7,62.5,43,56.81,0
CUST-0110,Alex Mahato,TechPulse,alex.mahato@techpulse.com,Pro,199.0,2025-08-15,10,4,0,0,4.75,14.8,0,53.6,93,6.64,0
CUST-0111,Sam Smith,ByteWorks,sam.smith@byteworks.com,Enterprise,799.0,2025-09-27,9,2,0,1,4.0,13.05,0,16.5,73,26.35,0
CUST-0112,Ananya Davis,ByteWorks,ananya.davis@byteworks.com,Enterprise,799.0,2025-02-20,16,7,4,2,3.29,29.2,7,50.9,25,74.82,0
CUST-0113,Sam Miller,QuantumSoft,sam.miller@quantumsoft.com,Starter,49.0,2025-10-25,8,10,4,2,2.7,23.38,7,84.3,23,76.17,0
CUST-0114,Riley Chen,ByteWorks,riley.chen@byteworks.com,Starter,49.0,2025-07-14,11,7,2,2,2.43,36.68,0,71.5,40,59.42,0
CUST-0115,Priya Williams,Synergy Tech,priya.williams@synergytech.com,Enterprise,799.0,2025-07-16,11,10,5,1,2.9,12.26,0,92.3,32,67.57,0
CUST-0116,Noah Patel,Acme Corp,noah.patel@acmecorp.com,Starter,49.0,2025-06-03,13,7,4,1,3.0,24.73,14,48.1,28,71.59,0
CUST-0117,Aarav Patel,Synergy Tech,aarav.patel@synergytech.com,Enterprise,799.0,2025-04-19,14,2,1,1,2.5,23.5,0,81.6,60,39.84,0
CUST-0118,Pat Sharma,InnoWave,pat.sharma@innowave.com,Enterprise,799.0,2025-09-03,10,9,6,2,2.44,44.93,3,77.0,7,92.54,1
CUST-0119,Morgan Anderson,QuantumSoft,morgan.anderson@quantumsoft.com,Starter,49.0,2025-04-16,14,2,0,0,4.0,3.3,0,61.2,88,11.88,0
CUST-0120,Dakota Miller,InnoWave,dakota.miller@innowave.com,Starter,49.0,2025-04-09,14,6,3,3,3.17,10.63,3,41.6,23,76.31,0
CUST-0121,Pat Thomas,Apex Global,pat.thomas@apexglobal.com,Pro,199.0,2025-10-18,8,4,2,2,3.0,15.3,3,76.4,43,56.16,0
CUST-0122,Olivia Jackson,TechPulse,olivia.jackson@techpulse.com,Enterprise,799.0,2025-02-22,16,8,3,4,2.88,39.44,14,64.2,7,92.98,1
CUST-0123,Pat Sharma,DataFlow,pat.sharma@dataflow.com,Enterprise,799.0,2025-06-05,13,8,4,0,3.5,18.68,0,59.2,51,48.08,0
CUST-0124,Siddharth Verma,InnoWave,siddharth.verma@innowave.com,Starter,49.0,2025-04-06,15,8,4,1,3.12,19.7,25,61.3,24,75.87,0
CUST-0125,Noah Johnson,QuantumSoft,noah.johnson@quantumsoft.com,Pro,199.0,2025-01-14,17,6,3,1,2.83,15.57,0,19.2,40,59.41,0
CUST-0126,Siddharth Verma,Nexus Solutions,siddharth.verma@nexussolutions.com,Pro,199.0,2025-09-01,10,10,4,4,2.8,19.2,7,35.6,0,100.0,1
CUST-0127,Casey Johnson,ByteWorks,casey.johnson@byteworks.com,Pro,199.0,2025-06-20,12,2,0,1,3.0,20.8,0,88.0,72,27.2,0
CUST-0128,Casey Brown,Acme Corp,casey.brown@acmecorp.com,Starter,49.0,2025-02-06,17,6,5,3,2.0,16.4,25,75.8,0,100.0,1
CUST-0129,Pat Garcia,Synergy Tech,pat.garcia@synergytech.com,Starter,49.0,2025-07-16,11,5,3,1,2.8,6.0,0,74.3,45,54.17,0
CUST-0130,Riley Williams,Acme Corp,riley.williams@acmecorp.com,Enterprise,799.0,2025-03-14,15,9,3,2,3.44,10.22,0,26.4,36,63.8,0
CUST-0131,Casey Anderson,Nexus Solutions,casey.anderson@nexussolutions.com,Pro,199.0,2025-05-03,14,4,1,0,3.25,24.13,0,66.6,74,25.34,0
CUST-0132,Dakota Miller,ByteWorks,dakota.miller@byteworks.com,Pro,199.0,2025-06-21,12,9,5,5,1.89,11.88,0,78.2,0,100.0,1
CUST-0133,Olivia Garcia,Vanguard AI,olivia.garcia@vanguardai.com,Enterprise,799.0,2025-04-28,14,3,0,0,4.33,24.63,0,94.3,94,5.9,0
CUST-0134,Liam Johnson,ByteWorks,liam.johnson@byteworks.com,Enterprise,799.0,2025-07-21,11,9,2,1,3.78,38.36,7,34.1,53,46.57,0
CUST-0135,Morgan Taylor,Horizon Labs,morgan.taylor@horizonlabs.com,Enterprise,799.0,2025-04-18,14,5,4,1,2.6,4.4,0,54.7,34,65.73,0
CUST-0136,Pat Anderson,QuantumSoft,pat.anderson@quantumsoft.com,Starter,49.0,2025-05-31,13,8,3,2,2.75,51.58,3,44.6,22,77.34,0
CUST-0137,Pat Thomas,Horizon Labs,pat.thomas@horizonlabs.com,Starter,49.0,2025-06-12,12,7,3,0,2.86,35.33,0,16.8,50,49.46,0
CUST-0138,Sophia Kim,QuantumSoft,sophia.kim@quantumsoft.com,Enterprise,799.0,2025-02-14,16,10,9,2,2.3,22.0,25,59.7,0,100.0,1
CUST-0139,Alex Smith,TechPulse,alex.smith@techpulse.com,Pro,199.0,2025-06-03,13,9,6,1,2.22,16.43,0,56.5,15,84.57,1
CUST-0140,Emily Chen,InnoWave,emily.chen@innowave.com,Starter,49.0,2025-02-22,16,5,2,1,2.6,29.6,0,21.2,46,53.08,0
CUST-0141,Emily Chen,Acme Corp,emily.chen@acmecorp.com,Starter,49.0,2025-02-25,16,2,1,0,2.5,22.2,0,87.1,70,29.29,0
CUST-0142,Chris Patel,Acme Corp,chris.patel@acmecorp.com,Starter,49.0,2025-03-16,15,6,1,0,3.83,20.34,0,38.1,76,23.52,0
CUST-0143,Jordan Williams,InnoWave,jordan.williams@innowave.com,Pro,199.0,2025-03-01,16,8,6,1,2.62,4.0,25,23.6,0,99.64,1
CUST-0144,Emily Davis,QuantumSoft,emily.davis@quantumsoft.com,Starter,49.0,2025-01-16,17,3,1,0,4.33,39.3,0,58.4,82,17.49,0
CUST-0145,Sophia Thomas,Acme Corp,sophia.thomas@acmecorp.com,Starter,49.0,2025-08-09,10,3,3,3,2.33,24.0,25,67.8,6,93.55,1
CUST-0146,Noah Taylor,Nexus Solutions,noah.taylor@nexussolutions.com,Enterprise,799.0,2025-03-22,15,10,6,6,2.7,29.88,0,54.8,0,100.0,1
CUST-0147,Taylor Thomas,CloudScale,taylor.thomas@cloudscale.com,Pro,199.0,2025-05-16,13,2,1,1,2.5,52.2,7,78.7,47,52.33,0
CUST-0148,Dakota Anderson,Starlight Systems,dakota.anderson@starlightsystems.com,Pro,199.0,2025-08-10,10,10,6,0,3.0,24.95,0,83.8,34,65.62,0
CUST-0149,Taylor Sharma,Vanguard AI,taylor.sharma@vanguardai.com,Pro,199.0,2025-02-02,17,8,3,1,3.38,42.06,0,57.8,48,51.22,0
CUST-0150,Riley Kim,ByteWorks,riley.kim@byteworks.com,Starter,49.0,2025-07-21,11,6,3,0,3.33,11.37,0,23.9,55,44.94,0
CUST-0151,Riley Anderson,Horizon Labs,riley.anderson@horizonlabs.com,Enterprise,799.0,2025-03-08,16,8,2,4,3.38,18.12,0,48.5,25,74.15,0
CUST-0152,Rohan Jones,Acme Corp,rohan.jones@acmecorp.com,Pro,199.0,2025-05-15,13,5,3,3,2.2,16.8,7,25.6,11,88.04,1
CUST-0153,Jordan Jackson,TechPulse,jordan.jackson@techpulse.com,Pro,199.0,2025-03-28,15,10,3,4,3.3,15.41,0,86.0,21,79.0,0
CUST-0154,Alex Mahato,QuantumSoft,alex.mahato@quantumsoft.com,Enterprise,799.0,2025-03-04,16,8,6,0,2.75,11.1,0,88.7,32,67.13,0
CUST-0155,Olivia Jones,InnoWave,olivia.jones@innowave.com,Enterprise,799.0,2025-02-19,16,7,3,3,2.86,25.92,3,43.4,21,78.6,0
CUST-0156,Noah Williams,Starlight Systems,noah.williams@starlightsystems.com,Enterprise,799.0,2025-01-09,17,3,2,2,1.67,16.8,0,49.7,32,67.7,0
CUST-0157,Alex Smith,ByteWorks,alex.smith@byteworks.com,Starter,49.0,2025-01-07,18,4,1,1,2.75,18.17,0,87.2,62,37.28,0
CUST-0158,Siddharth Taylor,Nexus Solutions,siddharth.taylor@nexussolutions.com,Starter,49.0,2025-08-19,10,5,4,2,1.8,39.0,25,64.8,3,96.12,1
CUST-0159,Siddharth Chen,Acme Corp,siddharth.chen@acmecorp.com,Starter,49.0,2025-05-28,13,5,1,2,3.0,35.62,3,43.6,48,51.44,0
CUST-0160,Chris Garcia,Synergy Tech,chris.garcia@synergytech.com,Starter,49.0,2025-02-02,17,7,3,1,2.86,29.1,0,21.8,41,58.96,0
CUST-0161,Priya Chen,InnoWave,priya.chen@innowave.com,Enterprise,799.0,2025-05-06,14,4,2,2,2.75,53.15,0,93.2,37,62.68,0
CUST-0162,Liam Mahato,ByteWorks,liam.mahato@byteworks.com,Pro,199.0,2025-10-11,8,6,5,3,2.83,2.8,7,24.9,0,99.04,1
CUST-0163,Morgan Kim,DataFlow,morgan.kim@dataflow.com,Enterprise,799.0,2025-01-03,18,9,5,0,3.22,21.65,0,24.7,38,61.75,0
CUST-0164,Noah Mahato,Acme Corp,noah.mahato@acmecorp.com,Enterprise,799.0,2025-03-20,15,3,3,2,1.33,24.0,7,20.4,14,85.49,1
CUST-0165,Emily Jackson,DataFlow,emily.jackson@dataflow.com,Enterprise,799.0,2025-08-20,10,7,3,2,3.43,38.27,0,54.3,38,61.14,0
CUST-0166,Alex Sharma,ByteWorks,alex.sharma@byteworks.com,Starter,49.0,2025-08-01,11,2,1,1,2.0,10.0,3,91.2,55,44.68,0
